                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.97312,                 0.5479,                  1.228,                0.98265,                0.96354,                0.98268,                0.72642,                0.95884,                0.35815,                 1.2195,               0.002575,               0.002575,               0.002575
                    152,                0.96839,                0.55022,                 1.2198,                0.98033,                0.96489,                0.98333,                0.72865,                0.95736,                0.35775,                 1.2161,              0.0025255,              0.0025255,              0.0025255
                    153,                0.96646,                0.55327,                  1.227,                0.98472,                0.95744,                0.98347,                 0.7281,                0.95801,                  0.357,                  1.216,               0.002476,               0.002476,               0.002476
                    154,                0.98353,                 0.5625,                 1.2416,                0.98543,                0.95899,                0.98388,                0.73014,                 0.9569,                0.35614,                 1.2161,              0.0024265,              0.0024265,              0.0024265
                    155,                 0.9635,                0.55495,                 1.2263,                0.98372,                0.96016,                0.98382,                0.72972,                0.95823,                0.35417,                  1.216,               0.002377,               0.002377,               0.002377
                    156,                0.97253,                0.55819,                 1.2396,                0.98076,                0.96363,                0.98377,                0.73107,                0.95948,                0.35522,                 1.2166,              0.0023275,              0.0023275,              0.0023275
                    157,                0.95492,                0.54389,                 1.2206,                0.98336,                0.96286,                0.98291,                0.73014,                0.96144,                0.35567,                 1.2174,               0.002278,               0.002278,               0.002278
                    158,                0.95846,                0.54524,                 1.2121,                 0.9868,                0.95936,                0.98349,                 0.7296,                0.95953,                0.35477,                 1.2165,              0.0022285,              0.0022285,              0.0022285
                    159,                0.95672,                0.53941,                 1.2071,                0.98353,                0.95881,                0.98298,                0.72974,                0.96049,                0.35534,                 1.2171,               0.002179,               0.002179,               0.002179
                    160,                0.95656,                0.54013,                 1.2179,                0.98648,                0.95679,                0.98327,                0.72713,                 0.9586,                0.35534,                 1.2174,              0.0021295,              0.0021295,              0.0021295
                    161,                0.95988,                0.55138,                 1.2176,                0.98787,                0.95611,                0.98326,                0.72736,                0.96032,                0.35608,                 1.2185,                0.00208,                0.00208,                0.00208
                    162,                0.95649,                0.55031,                 1.2132,                0.98707,                0.95611,                0.98215,                0.72599,                0.96285,                0.35756,                 1.2193,              0.0020305,              0.0020305,              0.0020305
                    163,                0.94361,                0.53487,                  1.214,                0.98594,                0.95746,                 0.9822,                0.72489,                0.96457,                0.35808,                 1.2193,               0.001981,               0.001981,               0.001981
                    164,                0.95758,                0.54076,                 1.2172,                0.98676,                0.95633,                0.98237,                0.72414,                0.96661,                0.35968,                 1.2204,              0.0019315,              0.0019315,              0.0019315
                    165,                0.95055,                0.53666,                 1.2216,                0.98533,                0.95746,                0.98363,                0.72183,                0.96721,                0.35963,                 1.2203,               0.001882,               0.001882,               0.001882
                    166,                 0.9402,                0.52756,                 1.2061,                0.98475,                0.95933,                0.98255,                 0.7237,                0.96366,                0.35699,                 1.2189,              0.0018325,              0.0018325,              0.0018325
                    167,                0.95265,                0.54554,                 1.2114,                0.98476,                0.96016,                0.98222,                0.72309,                0.96287,                0.35725,                 1.2191,               0.001783,               0.001783,               0.001783
                    168,                0.92686,                0.51895,                  1.199,                0.98474,                0.95882,                0.98256,                0.72527,                0.96168,                0.35639,                 1.2179,              0.0017335,              0.0017335,              0.0017335
                    169,                0.94484,                0.53014,                 1.2161,                0.97614,                0.96678,                0.98252,                 0.7252,                0.96088,                0.35628,                 1.2171,               0.001684,               0.001684,               0.001684
                    170,                0.93924,                0.53216,                 1.2109,                0.97748,                0.96716,                0.98234,                0.72591,                0.96022,                0.35531,                 1.2163,              0.0016345,              0.0016345,              0.0016345
                    171,                0.94548,                0.52646,                 1.2028,                0.97935,                0.96354,                0.98253,                0.72536,                0.95959,                0.35387,                 1.2163,               0.001585,               0.001585,               0.001585
                    172,                0.93678,                0.52743,                 1.2051,                0.97678,                0.96555,                0.98271,                0.72466,                0.96113,                 0.3541,                 1.2175,              0.0015355,              0.0015355,              0.0015355
                    173,                0.93483,                0.52757,                 1.2059,                0.97743,                0.96515,                0.98306,                0.72533,                0.95998,                0.35411,                 1.2175,               0.001486,               0.001486,               0.001486
                    174,                0.93449,                0.53369,                 1.2035,                0.97832,                0.96219,                0.98317,                0.72471,                0.96116,                0.35524,                 1.2182,              0.0014365,              0.0014365,              0.0014365
                    175,                 0.9359,                0.52559,                 1.2039,                0.98273,                0.95881,                0.98411,                0.72528,                0.96074,                0.35451,                 1.2186,               0.001387,               0.001387,               0.001387
                    176,                0.92545,                0.52493,                 1.2008,                0.98269,                0.95825,                0.98371,                0.72567,                0.96261,                0.35393,                 1.2198,              0.0013375,              0.0013375,              0.0013375
                    177,                0.93027,                0.52543,                 1.1972,                0.98269,                0.95849,                0.98315,                0.72689,                0.96297,                0.35434,                 1.2207,               0.001288,               0.001288,               0.001288
                    178,                0.92337,                0.52106,                 1.1908,                0.98269,                0.96016,                0.98336,                0.72746,                0.96284,                0.35449,                 1.2214,              0.0012385,              0.0012385,              0.0012385
                    179,                0.92672,                0.51722,                 1.1964,                0.98272,                0.96025,                0.98332,                0.72741,                0.96211,                0.35444,                 1.2221,               0.001189,               0.001189,               0.001189
                    180,                0.90979,                0.51245,                 1.1851,                0.98564,                0.95746,                 0.9833,                0.72815,                0.96216,                0.35497,                 1.2228,              0.0011395,              0.0011395,              0.0011395
                    181,                0.91059,                0.51157,                 1.1937,                0.98205,                0.96037,                0.98326,                0.72816,                0.96235,                0.35472,                 1.2232,                0.00109,                0.00109,                0.00109
                    182,                0.91499,                0.51747,                 1.1972,                 0.9841,                0.96107,                0.98315,                0.72683,                0.96145,                0.35452,                 1.2231,              0.0010405,              0.0010405,              0.0010405
                    183,                0.92584,                0.51676,                 1.2025,                0.98325,                0.96286,                0.98303,                0.72612,                0.96212,                0.35413,                 1.2239,               0.000991,               0.000991,               0.000991
                    184,                0.92031,                0.51942,                 1.1985,                0.98171,                0.96219,                0.98304,                0.72582,                0.96344,                0.35382,                  1.225,              0.0009415,              0.0009415,              0.0009415
                    185,                0.91176,                0.51351,                 1.1864,                0.98241,                0.96219,                0.98309,                0.72566,                0.96451,                0.35406,                 1.2258,               0.000892,               0.000892,               0.000892
                    186,                0.89749,                0.50751,                 1.1799,                0.98359,                0.96219,                0.98332,                0.72517,                0.96501,                0.35373,                 1.2266,              0.0008425,              0.0008425,              0.0008425
                    187,                0.91068,                0.51284,                 1.1839,                0.98344,                 0.9624,                 0.9833,                0.72588,                0.96557,                0.35377,                 1.2268,               0.000793,               0.000793,               0.000793
                    188,                0.90437,                0.50181,                 1.1878,                0.98481,                0.96291,                0.98337,                 0.7259,                0.96614,                0.35475,                 1.2277,              0.0007435,              0.0007435,              0.0007435
                    189,                 0.9034,                0.50931,                  1.187,                0.98546,                0.96088,                0.98335,                0.72593,                0.96637,                  0.355,                 1.2283,               0.000694,               0.000694,               0.000694
                    190,                0.83105,                0.35199,                 1.1733,                  0.985,                0.96151,                 0.9833,                0.72613,                0.96649,                0.35497,                 1.2287,              0.0006445,              0.0006445,              0.0006445
                    191,                 0.8161,                0.34581,                 1.1726,                 0.9851,                0.96084,                0.98313,                0.72585,                 0.9662,                0.35507,                 1.2286,               0.000595,               0.000595,               0.000595
                    192,                0.81066,                0.33849,                 1.1662,                 0.9853,                0.96151,                0.98316,                0.72569,                0.96601,                0.35535,                 1.2285,              0.0005455,              0.0005455,              0.0005455
                    193,                0.81361,                 0.3378,                 1.1638,                0.98482,                0.96151,                0.98357,                0.72598,                0.96631,                0.35569,                 1.2288,               0.000496,               0.000496,               0.000496
                    194,                0.81035,                0.33838,                 1.1619,                 0.9848,                0.96245,                0.98358,                0.72572,                0.96693,                0.35576,                 1.2294,              0.0004465,              0.0004465,              0.0004465
                    195,                0.80591,                0.33296,                 1.1626,                0.98396,                0.96219,                0.98364,                0.72544,                0.96732,                0.35577,                 1.2294,               0.000397,               0.000397,               0.000397
                    196,                0.79869,                0.32851,                 1.1569,                0.98546,                0.96131,                0.98379,                0.72593,                0.96745,                0.35508,                 1.2298,              0.0003475,              0.0003475,              0.0003475
                    197,                0.80224,                 0.3327,                 1.1519,                0.98207,                0.96165,                0.98381,                0.72619,                0.96783,                0.35452,                   1.23,               0.000298,               0.000298,               0.000298
                    198,                0.80012,                0.33418,                 1.1591,                0.98255,                0.96084,                0.98383,                0.72484,                0.96833,                0.35421,                 1.2303,              0.0002485,              0.0002485,              0.0002485
                    199,                0.80135,                0.33222,                 1.1579,                0.98409,                0.96052,                0.98379,                0.72486,                0.96856,                0.35376,                 1.2306,               0.000199,               0.000199,               0.000199
